,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,9.37,33795.772665564225,33796.295000000035,0,15.455375679765204,0.0
1,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,9.37,34059.39057210192,34058.996000000036,1,11.58495987029854,81.52827229260619
2,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,9.37,34497.27945253761,34584.39800000004,2,2519.0129798537732,0.0
3,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,9.37,35442.80883045881,35372.50100000004,3,1987.6409208036716,0.0
4,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,9.37,36763.448445431255,36423.30500000004,4,9338.621122691038,0.0
5,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,9.37,37842.40809273067,37736.810000000034,5,2798.278199207543,0.0
6,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,9.37,39265.6101336305,39313.01600000003,6,1205.8567668665328,0.0
7,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,66.37,33796.77301076707,33796.295000000035,0,14.143880772659564,0.0
8,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,66.37,34058.76523304479,34058.996000000036,1,6.7755066898187,99.05469365039961
9,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,66.37,34514.61357141839,34584.39800000004,2,2017.8008760379832,0.0
10,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,66.37,35307.81877297289,35372.50100000004,3,1828.6020269573619,0.0
11,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,66.37,36056.820136206305,36423.30500000004,4,10061.82343402752,0.0
12,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,66.37,37886.75075549572,37736.810000000034,5,3973.3288398167474,0.0
13,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,66.37,39618.02800820843,39313.01600000003,6,7758.550201500582,0.0
14,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,186.39,33794.74375867916,33796.295000000035,0,45.8997449536416,0.0
15,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,186.39,34059.508128017296,34058.996000000036,1,15.036497765838208,98.1468247446661
16,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,186.39,34540.40921605149,34584.39800000004,2,1271.925680144712,0.0
17,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,186.39,34540.40921605149,35372.50100000004,3,23523.691014908654,0.0
18,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,186.39,36951.11806806093,36423.30500000004,4,14491.081137774154,0.0
19,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,186.39,37926.449940794904,37736.810000000034,5,5025.330461023866,0.0
20,12_DAN-LON-a5fc619e-8,DAN-LON-a5fc619e-8,186.39,39420.14938911211,39313.01600000003,6,2725.137880850483,0.0
