,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,11.27,33796.197128406995,33796.295000000035,0,2.8959266996456017,0.0
1,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,11.27,34060.66898161861,34061.01200000003,1,10.070704341369073,2.1979391491244775
2,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,11.27,34269.295315469426,34590.44600000003,2,9284.375359907366,0.0
3,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,11.27,35370.017628400135,35384.59700000003,3,412.02593320181734,0.0
4,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,11.27,36735.793366548816,36443.46500000003,4,8021.420755375021,0.0
5,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,11.27,37819.82987028952,37767.05000000003,5,1397.5110655846026,0.0
6,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.26,33796.27245034325,33796.295000000035,0,0.6672227469699006,0.0
7,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.26,34060.03392387486,34061.01200000003,1,28.715415888846543,1.3408692122921089
8,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.26,34716.65977520158,34590.44600000003,2,3648.804505196253,0.0
9,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.26,35681.249660310415,35384.59700000003,3,8383.666495068024,0.0
10,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.26,36722.72312456955,36443.46500000003,4,7662.776428353286,0.0
11,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.26,37774.09948031078,37767.05000000003,5,186.65689564714117,0.0
12,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.26,39332.08076602094,39355.352000000035,6,591.3105282121724,0.0
13,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.27,33796.09095797503,33796.295000000035,0,6.0374080947345625,0.0
14,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.27,34059.89275283284,34061.01200000003,1,32.860067903716825,0.8436537597425666
15,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.27,34662.3599761145,34590.44600000003,2,2079.012687910088,0.0
16,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.27,35255.88470371537,35384.59700000003,3,3637.523306671045,0.0
17,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.27,36228.30312964756,36443.46500000003,4,5903.990478196092,0.0
18,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.27,37776.69114903566,37767.05000000003,5,255.2793780723104,0.0
19,15_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.27,39214.94085335351,39355.352000000035,6,3567.777684888334,0.0
