,Injection name,Compound name,Injection time,Peak mass,Error to closest theory mass (ppm),Closest theory mass,Ligand count,Relative labelling
0,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,11.75,33796.203413461626,2.7099579527457607,33796.295000000035,0,0.0
1,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,11.75,33816.310946405814,592.2526834902958,33796.295000000035,0,0.0
2,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,11.75,34209.79512720634,12235.072726353626,33796.295000000035,0,0.0
3,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.73,33785.59598589704,316.57358012162075,33796.295000000035,0,0.0
4,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.73,33796.24123853481,1.5907502650092435,33796.295000000035,0,0.0
5,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.73,33807.28542296435,325.1960892255893,33796.295000000035,0,0.0
6,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.73,33827.35636489605,919.076037654819,33796.295000000035,0,0.0
7,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.73,33859.412658973764,1867.5910768837127,33796.295000000035,0,0.0
8,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,68.73,34211.32711677257,12280.40283032604,33796.295000000035,0,0.0
9,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.76,33710.32519760291,2543.7641137030346,33796.295000000035,0,0.0
10,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.76,33796.37098475505,2.248316125017856,33796.295000000035,0,0.0
11,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.76,33818.5090199857,657.2915754719793,33796.295000000035,0,0.0
12,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.76,33829.09663271249,970.5688955684902,33796.295000000035,0,0.0
13,16_MED-COV-4280ac29-13,MED-COV-4280ac29-13,188.76,34211.81087738112,12294.71684340201,33796.295000000035,0,0.0
