,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,12.44,33795.96124778593,33796.295000000035,0,9.875408357876038,0.0
1,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,12.44,34081.4782712929,34081.43000000004,1,1.4163517453413352,87.67784200508919
2,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,12.44,34514.22613411573,34651.70000000003,2,3967.305092803676,0.0
3,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,12.44,35215.44297397301,35507.10500000003,3,8214.18772459824,0.0
4,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,12.44,36424.91885712352,36647.64500000003,4,6077.502193565565,0.0
5,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,12.44,37799.95670380773,38073.320000000036,5,7179.917490576248,0.0
6,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,69.44,33795.98134319874,33796.295000000035,0,9.280804339421863,0.0
7,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,69.44,34082.00385924542,34081.43000000004,1,16.837886361733997,98.53835603176813
8,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,69.44,34524.52874909385,34651.70000000003,2,3669.985914289441,0.0
9,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,69.44,35835.45694135988,35507.10500000003,3,9247.499658444347,0.0
10,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,69.44,36869.87271696996,36647.64500000003,4,6063.901704186717,0.0
11,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,69.44,37955.76840396212,38073.320000000036,5,3087.5057924528887,0.0
12,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,69.44,39779.797737833884,39784.130000000034,6,108.8942290845628,0.0
13,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,189.46,33795.25086582495,33796.295000000035,0,30.894930201217708,0.0
14,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,189.46,34081.84935097797,34081.43000000004,1,12.304383294249064,97.7935727222905
15,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,189.46,34534.329984552714,34651.70000000003,2,3387.135853286243,0.0
16,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,189.46,35549.069120478045,35507.10500000003,3,1181.8513640583408,0.0
17,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,189.46,36881.33522873377,36647.64500000003,4,6376.677921152531,0.0
18,17_PAU-UNI-8cdd41c7-1,PAU-UNI-8cdd41c7-1,189.46,37922.708998104725,38073.320000000036,5,3955.8147777843174,0.0
