,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,3.0,33796.15030255664,33796.295000000035,0,4.281458763244388,0.0
1,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,3.0,34091.205599790985,34090.632000000034,1,16.825730627420988,23.864785400505074
2,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,3.0,34457.12423867636,34679.30600000003,2,6406.753391306925,0.0
3,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,3.0,35497.419778468335,35562.31700000003,3,1824.8873247403167,0.0
4,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,3.0,36777.07742835131,36739.66500000003,4,1018.3116354294249,0.0
5,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,3.0,38231.55018762166,38211.35000000003,5,528.6436522559628,0.0
6,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,60.0,33798.287632824,33796.295000000035,0,58.960096778867026,0.0
7,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,60.0,34090.82934736642,34090.632000000034,1,5.788903132957301,98.02312411491197
8,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,60.0,34573.39116755619,34679.30600000003,2,3054.122030119138,0.0
9,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,60.0,35722.75889605234,35562.31700000003,3,4511.570380870026,0.0
10,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,60.0,36741.05328086848,36739.66500000003,4,37.786976785178545,0.5194667182704366
11,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,60.0,38279.28026795256,38211.35000000003,5,1777.7510596337295,0.0
12,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,180.0,33795.14782214199,33796.295000000035,0,33.943894087956195,0.0
13,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,180.0,34091.15645123226,34090.632000000034,1,15.384027853289334,99.10682323197446
14,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,180.0,34548.93526064297,34679.30600000003,2,3759.3237695433018,0.0
15,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,180.0,35370.44008535582,35562.31700000003,3,5395.512183421949,0.0
16,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,180.0,36742.266391128374,36739.66500000003,4,70.80606555188788,0.0
17,1_WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,180.0,37946.672616152086,38211.35000000003,5,6926.669270987336,0.0
