,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,17.14,33796.060806403635,33796.295000000035,0,6.929564214052564,0.0
1,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,17.14,34063.193565777794,34062.98400000003,1,6.152302386686731,63.714543158500454
2,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,17.14,34502.114599541164,34596.36200000003,2,2724.1997427031683,0.0
3,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,17.14,35266.97804251046,35396.42900000003,3,3657.1756289192585,0.0
4,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,17.14,36444.91706114632,36463.185000000034,4,500.9967959111203,0.0
5,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,17.14,37811.35964357136,37796.630000000034,5,389.7078541480753,0.0
6,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,17.14,39399.76187998217,39396.76400000003,6,76.09457421782524,0.0
7,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,74.15,33795.53438657657,33796.295000000035,0,22.50582270827513,0.0
8,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,74.15,34063.19084657345,34062.98400000003,1,6.072473668753456,96.80215166187669
9,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,74.15,34498.273670987604,34596.36200000003,2,2835.220911737066,0.0
10,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,74.15,35370.632755816696,35396.42900000003,3,728.7809791020711,0.0
11,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,74.15,36346.11796161837,36463.185000000034,4,3210.554381951585,0.0
12,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,74.15,37916.729899497055,37796.630000000034,5,3177.5293061053667,0.0
13,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,74.15,39430.29143358453,39396.76400000003,6,851.019986933321,0.0
14,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,194.16,33795.431528040295,33796.295000000035,0,25.549308281851566,0.0
15,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,194.16,34063.367196125284,34062.98400000003,1,11.249634654757,97.18601934861192
16,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,194.16,34600.79170867591,34596.36200000003,2,128.03972498268902,0.0
17,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,194.16,35008.53560358883,35396.42900000003,3,10958.546027657194,0.0
18,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,194.16,36346.446454776145,36463.185000000034,4,3201.545482762642,0.0
19,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,194.16,37923.60745604382,37796.630000000034,5,3359.49146904862,0.0
20,25_MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,194.16,39428.27236284696,39396.76400000003,6,799.7703275053049,0.0
