,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,22.34,33796.179960364796,33796.295000000035,0,3.4039126252935423,0.0
1,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,22.34,34147.884137151465,34147.74500000003,1,4.0745633842822,52.19359717104352
2,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,22.34,34956.294455657575,34850.64500000003,2,3031.4921189418906,0.0
3,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,22.34,36364.20183914206,35904.99500000003,3,12789.497370547604,0.0
4,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,22.34,37611.282322607054,37310.795000000035,4,8053.6295891582895,0.0
5,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,22.34,39227.84882013014,39068.045000000035,5,4090.3971552736325,0.0
6,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,79.36,33795.97219731118,33796.295000000035,0,9.551422392711936,0.0
7,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,79.36,34148.1174339645,34147.74500000003,1,10.906546375716898,90.59891361567624
8,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,79.36,34849.372446237074,34850.64500000003,2,36.5144967319667,0.22705075606944894
9,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,79.36,35917.77524558334,35904.99500000003,3,355.9461735980739,0.0
10,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,79.36,37301.77293237062,37310.795000000035,4,241.80850687882798,0.0
11,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,79.36,38871.58445789021,39068.045000000035,5,5028.676047389212,0.0
12,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,199.35,33796.47257615409,33796.295000000035,0,5.2543083215398,0.0
13,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,199.35,34148.05424760496,34147.74500000003,1,9.05616476074202,96.9649168387029
14,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,199.35,34830.72065000751,34850.64500000003,2,571.7067788134606,0.0
15,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,199.35,35849.821433102225,35904.99500000003,3,1536.6543540197438,0.0
16,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,199.35,37301.665283996,37310.795000000035,4,244.69368728363926,0.0
17,34_LON-WEI-adc59df6-3,LON-WEI-adc59df6-3,199.35,39223.2804725177,39068.045000000035,5,3973.4640552825904,0.0
