,Injection name,Compound name,Injection time,Peak mass,Error to closest theory mass (ppm),Closest theory mass,Ligand count,Relative labelling
0,37_positive-control-ebselen,positive control : ebselen,24.21,33796.14757774542,4.3620833176147125,33796.295000000035,0,0.0
1,37_positive-control-ebselen,positive control : ebselen,24.21,33816.07213426602,585.1864610006351,33796.295000000035,0,0.0
2,37_positive-control-ebselen,positive control : ebselen,24.21,34210.789037455725,12264.48157869641,33796.295000000035,0,0.0
3,37_positive-control-ebselen,positive control : ebselen,81.23,33757.77574777854,1139.7477806810743,33796.295000000035,0,0.0
4,37_positive-control-ebselen,positive control : ebselen,81.23,33785.58314814817,316.95343681494836,33796.295000000035,0,0.0
5,37_positive-control-ebselen,positive control : ebselen,81.23,33796.25985176282,1.0400026752469214,33796.295000000035,0,0.0
6,37_positive-control-ebselen,positive control : ebselen,81.23,33818.86938050707,667.9542981571748,33796.295000000035,0,0.0
7,37_positive-control-ebselen,positive control : ebselen,81.23,33828.67499474006,958.0930317961092,33796.295000000035,0,0.0
8,37_positive-control-ebselen,positive control : ebselen,81.23,34210.6165435684,12259.37764977985,33796.295000000035,0,0.0
9,37_positive-control-ebselen,positive control : ebselen,201.24,33785.9878448835,304.9788480226595,33796.295000000035,0,0.0
10,37_positive-control-ebselen,positive control : ebselen,201.24,33796.21215428631,2.4513253220497755,33796.295000000035,0,0.0
11,37_positive-control-ebselen,positive control : ebselen,201.24,33818.42577544431,654.828449221284,33796.295000000035,0,0.0
12,37_positive-control-ebselen,positive control : ebselen,201.24,33828.25985339222,945.8093969231334,33796.295000000035,0,0.0
13,37_positive-control-ebselen,positive control : ebselen,201.24,33843.26994933798,1389.9437597506528,33796.295000000035,0,0.0
14,37_positive-control-ebselen,positive control : ebselen,201.24,34209.836987625386,12236.311336060668,33796.295000000035,0,0.0
