,Injection name,Compound name,Injection time,Peak mass,Error to closest theory mass (ppm),Closest theory mass,Ligand count,Relative labelling
0,39_negative control : dmso,negative control : dmso,25.4,33796.17385501075,3.5845642040682666,33796.295000000035,0,0.0
1,39_negative control : dmso,negative control : dmso,25.4,33816.277850114275,591.2733959222488,33796.295000000035,0,0.0
2,39_negative control : dmso,negative control : dmso,25.4,34034.384035049356,7044.826512767767,33796.295000000035,0,0.0
3,39_negative control : dmso,negative control : dmso,25.4,34210.24854889894,12248.489039964454,33796.295000000035,0,0.0
4,39_negative control : dmso,negative control : dmso,82.41,33796.302739267056,0.22899749871848224,33796.295000000035,0,0.0
5,39_negative control : dmso,negative control : dmso,82.41,33818.38980605466,653.7641494320261,33796.295000000035,0,0.0
6,39_negative control : dmso,negative control : dmso,82.41,33828.55627816736,954.5803221129207,33796.295000000035,0,0.0
7,39_negative control : dmso,negative control : dmso,82.41,34210.21358491154,12247.454489064601,33796.295000000035,0,0.0
8,39_negative control : dmso,negative control : dmso,202.41,33796.32305855452,0.8302257535156865,33796.295000000035,0,0.0
9,39_negative control : dmso,negative control : dmso,202.41,33818.288100456986,650.7547782072452,33796.295000000035,0,0.0
10,39_negative control : dmso,negative control : dmso,202.41,33828.59820196792,955.8208072182667,33796.295000000035,0,0.0
11,39_negative control : dmso,negative control : dmso,202.41,34211.54167252158,12286.751329444289,33796.295000000035,0,0.0
