,Injection name,Compound name,Injection time,Peak mass,Error to closest theory mass (ppm),Closest theory mass,Ligand count,Relative labelling
0,42_negative-control-no-dmso,negative control : no dmso,27.05,33796.14964680803,4.3008617366232516,33796.295000000035,0,0.0
1,42_negative-control-no-dmso,negative control : no dmso,27.05,33816.326304400245,592.7071118360898,33796.295000000035,0,0.0
2,42_negative-control-no-dmso,negative control : no dmso,27.05,34033.96310961119,7032.371732201909,33796.295000000035,0,0.0
3,42_negative-control-no-dmso,negative control : no dmso,27.05,34210.83603790951,12265.87227710834,33796.295000000035,0,0.0
4,42_negative-control-no-dmso,negative control : no dmso,84.07,33785.56814235488,317.3974438663572,33796.295000000035,0,0.0
5,42_negative-control-no-dmso,negative control : no dmso,84.07,33796.274983229676,0.5922770634704025,33796.295000000035,0,0.0
6,42_negative-control-no-dmso,negative control : no dmso,84.07,33817.7191063528,633.9187876294156,33796.295000000035,0,0.0
7,42_negative-control-no-dmso,negative control : no dmso,84.07,33828.418591281414,950.5062990300864,33796.295000000035,0,0.0
8,42_negative-control-no-dmso,negative control : no dmso,84.07,34210.994713738066,12270.567342900482,33796.295000000035,0,0.0
9,42_negative-control-no-dmso,negative control : no dmso,204.08,33785.81308451554,310.14983993054244,33796.295000000035,0,0.0
10,42_negative-control-no-dmso,negative control : no dmso,204.08,33796.313598272194,0.5503050603499345,33796.295000000035,0,0.0
11,42_negative-control-no-dmso,negative control : no dmso,204.08,33807.611689390884,334.85000029882553,33796.295000000035,0,0.0
12,42_negative-control-no-dmso,negative control : no dmso,204.08,33828.69120161786,958.5725777877889,33796.295000000035,0,0.0
13,42_negative-control-no-dmso,negative control : no dmso,204.08,34210.249950490535,12248.530511717345,33796.295000000035,0,0.0
