,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,33795.90970454744,33796.295000000035,0,11.4005234181353,0.0
1,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,34088.72353691469,34088.638000000035,1,2.5092499926819825,82.92494155174765
2,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,34512.53104688616,34673.32400000004,2,4637.367709939768,0.0
3,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,35106.975636170726,35550.35300000004,3,12471.813256799807,0.0
4,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,36871.52034214677,36719.72500000004,4,4133.8910393997885,0.0
5,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,39257.191007385794,38181.440000000046,5,28174.710209613546,0.0
6,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,33795.86855244715,33796.295000000035,0,12.618174651495771,0.0
7,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,34087.81277394898,34088.638000000035,1,24.2082435518906,99.46745657602784
8,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,34814.37832176746,34673.32400000004,2,4068.0934359630533,0.0
9,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,35842.285757698395,35550.35300000004,3,8211.810377757873,0.0
10,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,36812.07630964893,36719.72500000004,4,2515.032714675545,0.0
11,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,38170.13853877896,38181.440000000046,5,295.99358277431924,0.0
12,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,33795.38671037602,33796.295000000035,0,26.875420042767598,0.0
13,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34089.574731636945,34088.638000000035,1,27.479291983147736,99.50837822293386
14,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34769.215532841874,34673.32400000004,2,2765.5708129349505,0.0
15,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,35734.225851599884,35550.35300000004,3,5172.180754431451,0.0
16,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,36868.100491260164,36719.72500000004,4,4040.7571478305317,0.0
17,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,38239.200591797606,38181.440000000046,5,1512.7923880702165,0.0
