,Injection name,Compound name,Injection time,Peak mass,Error to closest theory mass (ppm),Closest theory mass,Ligand count,Relative labelling
0,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,33795.90970454744,11.4005234181353,33796.295000000035,0,0.0
1,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,33828.26698497344,946.0204135809216,33796.295000000035,0,0.0
2,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,34088.72353691469,8652.680328262388,33796.295000000035,0,0.0
3,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,34109.97871610684,9281.600723002417,33796.295000000035,0,0.0
4,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,34129.944239844,9872.361448021613,33796.295000000035,0,0.0
5,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,34502.902521085365,20907.83978200361,33796.295000000035,0,0.0
6,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,33826.73452907669,900.6765113351961,33796.295000000035,0,0.0
7,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,34049.95208221015,7505.470117659725,33796.295000000035,0,0.0
8,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,34089.567495559204,8677.652256236048,33796.295000000035,0,0.0
9,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,34126.04886411488,9757.101011067687,33796.295000000035,0,0.0
10,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,34151.06941388096,10497.435114734562,33796.295000000035,0,0.0
11,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,33828.683020769575,958.3305143223578,33796.295000000035,0,0.0
12,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34006.73343634876,6226.671780108615,33796.295000000035,0,0.0
13,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34077.47375137408,8319.809948813667,33796.295000000035,0,0.0
14,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34089.574731636945,8677.866364845919,33796.295000000035,0,0.0
15,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34110.91068176916,9309.17669434245,33796.295000000035,0,0.0
16,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34501.83885993916,20876.36706742933,33796.295000000035,0,0.0
