,Injection name,Compound name,Injection time,Observed mass,Theoretical mass,Number ligands,ppm Error to nearest peak,Relative labelling
0,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,5.36,33796.02113673541,33796.295000000035,0,8.103351702352818,0.0
1,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,5.36,34046.558178535,34046.98500000004,1,12.536248511769312,74.68236670347072
2,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,5.36,34483.28446781459,34548.365000000034,2,1883.7514361516737,0.0
3,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,5.36,35387.65657577783,35300.435000000034,3,2470.835721367052,0.0
4,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,5.36,35393.4248574625,36303.195000000036,4,25060.33263842297,0.0
5,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,5.36,37867.752926139285,37556.64500000003,5,8283.69856091382,0.0
6,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,5.36,39388.682727955296,39060.78500000003,6,8394.550389995067,0.0
7,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,62.36,33794.74596578526,33796.295000000035,0,45.83443879795162,0.0
8,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,62.36,34047.04020838445,34046.98500000004,1,1.621535193671082,99.11655223191974
9,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,62.36,34494.51215652254,34548.365000000034,2,1558.7667745635,0.0
10,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,62.36,35105.253598004696,35300.435000000034,3,5529.150051418287,0.0
11,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,62.36,36081.637353610015,36303.195000000036,4,6102.979266426036,0.0
12,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,62.36,37924.0054216148,37556.64500000003,5,9781.502623963475,0.0
13,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,62.36,39223.12604100686,39060.78500000003,6,4156.113119765115,0.0
14,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,182.37,33796.213419679145,33796.295000000035,0,2.413883560010659,0.0
15,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,182.37,34046.89240846465,34046.98500000004,1,2.7195223126901777,98.8853661142289
16,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,182.37,34486.95074388065,34548.365000000034,2,1777.631332753012,0.0
17,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,182.37,35108.90421496982,35300.435000000034,3,5425.734414610252,0.0
18,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,182.37,36082.26101058639,36303.195000000036,4,6085.800145514538,0.0
19,5_AAR-POS-d2a4d1df-35,AAR-POS-d2a4d1df-35,182.37,37905.835622520564,37556.64500000003,5,9297.705439890355,0.0
