,Injection name,Compound name,Injection time,Peak mass,Error to closest theory mass (ppm),Closest theory mass,Ligand count,Relative labelling
0,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,6.54,33795.83442674238,13.627921571073621,33796.295000000035,0,0.0
1,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,6.54,33828.6605949937,957.6669570929461,33796.295000000035,0,0.0
2,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,6.54,34062.84630564767,7886.997839486062,33796.295000000035,0,0.0
3,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,6.54,34084.496806429954,8527.615421451339,33796.295000000035,0,0.0
4,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,6.54,34477.32524410437,20151.032653263854,33796.295000000035,0,0.0
5,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,33827.64380677965,927.5811676875627,33796.295000000035,0,0.0
6,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,34024.31387043792,6746.859986808868,33796.295000000035,0,0.0
7,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,34063.00155833445,7891.591617791694,33796.295000000035,0,0.0
8,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,34072.050880027164,8159.3523795176,33796.295000000035,0,0.0
9,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,34084.59113813348,8530.406606210707,33796.295000000035,0,0.0
10,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,34100.804006935825,9010.129865885889,33796.295000000035,0,0.0
11,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,63.55,34476.71912646949,20133.098212968514,33796.295000000035,0,0.0
12,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,33828.42989613663,950.8407988684775,33796.295000000035,0,0.0
13,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,33975.93132158952,5315.266705699212,33796.295000000035,0,0.0
14,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,34062.875955699135,7887.87515611106,33796.295000000035,0,0.0
15,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,34072.10373113207,8160.916193092583,33796.295000000035,0,0.0
16,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,34097.4598610104,8911.179790872502,33796.295000000035,0,0.0
17,7_AAR-POS-d2a4d1df-40,AAR-POS-d2a4d1df-40,183.56,34475.018643630916,20082.78255444511,33796.295000000035,0,0.0
